Confidential Record,Property Tag 1,Tenant Tag 1,Property: Title,Agency 1,Main Tenant,Rent,Advert Date,Sale Date,Sale Price,Yield,Sale Method,Auction / EOI Date,Agency 2,Agent 1,Agent 2,Agent 3,Agent 4,Building Size,Land Size,LDC Places,Field Percent Complete,Source Link URL,Transaction History: Transaction History Name,Missing Fields List,
FALSE,Fuel and Convenience,Fuel Stations,"289 Turton Road, New Lambton NSW 2305",Burgess Rawson,7-Eleven,"$375,220",1/10/2024,8/11/2024,"$6,200,000",6.05%,Private Sale,,,Geoff Sinclair,Yosh Mendis,,,1,2032,,100%,PROPID_172.66,TH-000062,,
FALSE,Fuel and Convenience,Fuel Stations,"159 Rouse Street, Tenterfield NSW 2372",Burgess Rawson,Mobil,"$135,600",9/03/2023,1/11/2024,"$1,680,000",8.07%,Private Sale,,,,,,,1,1566,,100%,PROPID_172.94,TH-000063,,
FALSE,Fuel and Convenience,Fuel Stations,"285-287 Kensington Road, Kensington SA 5068",Burgess Rawson,OTR (Viva Energy),"$265,691",1/10/2024,30/10/2024,"$4,830,000",5.50%,Portfolio Auction,30/10/2024,,,,,,385,863,,100%,PROPID_172.13,TH-000072,,
FALSE,Government,Office,"1/ 448-452 Goodwood Road, Cumberland Park SA 5041",Burgess Rawson,SA Government Minister of Infrastructure and Transport,"$69,210",25/09/2024,31/10/2024,"$1,565,000",4.42%,Portfolio Auction,30/10/2024,,,,,,174,0,,100%,PROPID_172.46,TH-000073,,
FALSE,Supermarkets,Independents and Aldi,"3 Wellington Street, Paynesville VIC 3880",Burgess Rawson,IGA,"$535,443",25/09/2024,30/10/2024,"$10,000,000",5.35%,Portfolio Auction,30/10/2024,,,,,,2242,4462,,100%,PROPID_172.1,TH-000074,,
FALSE,Industrial,Trade Retail,"64 Dandenong Road West, Frankston VIC 3199",Burgess Rawson,Dulux Group (Australia),"$101,870",1/10/2024,30/10/2024,"$2,145,000",4.75%,Portfolio Auction,,,,,,,425,425,,100%,PROPID_172.55,TH-000078,,
FALSE,Childcare and Social Infrastructure,Childcare,"11-15 Apsley St, Strathfieldsaye VIC 3551",Burgess Rawson,Brady Bunch Early Learning Centre,"$299,741",1/10/2024,29/10/2024,"$4,995,000",6.00%,Portfolio Auction,30/10/2024,,,,,,833,2725,114,100%,PROPID_172.59,TH-000080,,
FALSE,Fast Food,Drive-Thru,"164 Freeman Road, Inala QLD 4077",Burgess Rawson,Red Rooster,"$169,406",3/07/2024,29/10/2024,"$3,540,000",4.79%,Private Sale,,,,,,,1,3245,,100%,PROPID_170.19,TH-000084,,
FALSE,Childcare and Social Infrastructure,Childcare,"160-162 Hoare Street, Manunda QLD 4870",Burgess Rawson,Goodstart Early Learning,"$175,026",1/10/2024,28/10/2024,"$2,850,000",6.14%,Portfolio Auction,31/10/2024,,,,,,1,1288,68,100%,PROPID_172.34,TH-000089,,
FALSE,Fuel and Convenience,Fuel Stations,"1487 South Road, Darlington SA 5047",Burgess Rawson,OTR (Viva Energy),"$330,996",1/10/2024,1/11/2024,"$6,015,000",5.50%,Portfolio Auction,30/10/2024,,,,,,646,4235,,100%,PROPID_172.12,TH-000090,,
FALSE,Retail,Strip Retail,"250-268 Clarinda Street, Parkes NSW 2870",Burgess Rawson,Discount Daves,"$124,190",14/11/2023,28/10/2024,"$1,535,001",8.09%,Auction,,,,,,,1,3192,,100%,PROPID_172.89,TH-000091,,
FALSE,Vacant,,"39,41,43 & 45 Ascot Street, Ascot Vale VIC 3032",Burgess Rawson,Vacant,$0,22/08/2024,28/10/2024,"$2,720,000",0.00%,EOI,26/09/2024,,Zomart He 何梓轩,,,,,1902,,100%,PROPID_171.23,TH-000093,,
FALSE,Fast Food,Fast Food Shops,"18 Nicklin Way, Minyama QLD 4575",Colliers,McDonald's Australia Limited,"$271,636",18/03/2021,24/03/2021,"$7,100,000",3.83%,Portfolio Auction,24/03/2021,,Nick Dowling,Daniel Vella,,,,,,100%,https://www.commercialrealestate.com.au/property/18-nicklin-way-minyama-qld-4575-2016817117,TH-000094,,
FALSE,Automotive,Car Dealerships,"230 Kelly Street, Scone NSW 2337",Cushman & Wakefield,Toyota,"$309,000",30/03/2021,1/10/2021,"$4,944,000",6.25%,Private Sale,,,Morgan Ruig,Aaron Dahl,,,715,2392,,100%,https://www.realcommercial.com.au/sold/property-230-kelly-street-scone-nsw-2337-503794230,TH-000100,,
FALSE,Automotive,Car Dealerships,"113 Maitland Street, Muswellbrook NSW 2333",Cushman & Wakefield,Toyota,"$309,000",30/03/2021,1/10/2021,"$4,944,000",6.25%,Private Sale,,,Morgan Ruig,Aaron Dahl,,,,,,100%,https://www.realcommercial.com.au/sold/property-113-maitland-street-muswellbrook-nsw-2333-503794254,TH-000101,,
FALSE,Fuel and Convenience,Fuel Stations,"70-72 Union Street, Kyabram VIC 3620",Burgess Rawson,EG,"$39,990",2/10/2024,30/10/2024,"$810,000",4.94%,Portfolio Auction,30/10/2024,,Jamie Perlinger,David Napoleone,,,1,809,,100%,PROPID_172.28,TH-000102,,
FALSE,Fuel and Convenience,Fuel Stations,"149 Soward Way, Greenway ACT 2900",Burgess Rawson,Shell & Reddy Express,"$495,331",2/10/2024,29/10/2024,"$9,050,000",5.47%,Portfolio Auction,29/10/2024,,,,,,1,3129,,100%,PROPID_172.8,TH-000104,,
FALSE,Supermarkets,Coles and Woolworths,"5 Molloy Street, Bulli NSW 2516",JLL,Woolworths,"$1,450,000",8/04/2021,24/05/2021,"$36,000,000",4.03%,EOI,,,Nick Willis,Sam Hatcher,,,3956,14600,,100%,https://www.realcommercial.com.au/sold/property-woolworths-bulli-5-molloy-street-bulli-nsw-2516-503799590,TH-000106,,
FALSE,Fuel and Convenience,Fuel Stations,"720 Sunbury Road, Sunbury VIC 3429",Burgess Rawson,7-Eleven,"$480,000",22/08/2024,22/10/2024,"$6,350,000",7.56%,Portfolio Auction,,,,,,,759,4330,,100%,PROPID_171.13,TH-000111,,
FALSE,"Medical, Pharmacy and Health",Medical,"87-89 Langtree Avenue, Mildura VIC 3500",CBRE,GP,"$363,778",30/04/2021,4/08/2021,"$6,065,000",6.00%,Private Sale,,,Sandro Peluso,Jimmy Tat,Marcello Caspani-Muto,Derek Barlow,1608,950,,100%,https://www.realcommercial.com.au/sold/property-87-89-langtree-avenue;-mildura-vic-3500-503817338,TH-000112,,
FALSE,Childcare and Social Infrastructure,Childcare,"855 Ruthven Street, Toowoomba QLD 4350",Burgess Rawson,Genius Childcare,"$298,032",3/05/2021,1/06/2021,"$5,000,000",5.96%,Portfolio Auction,23/06/2021,,,,,,,,130,100%,PROPID_145.1,TH-000113,,
FALSE,Fast Food,Fast Food Shops,"13/82 Gateway Boulevard, Epping VIC 3076",Cva Property,Industry Café & Catering,"$70,036",21/08/2024,21/10/2024,"$1,120,000",6.25%,Private Sale,,,John Nockles,,,,154,,,100%,https://www.cva.melbourne/salehistory/40818/sold/13-82-gateway-boulevard/epping-vic-3076/retail,TH-000114,,
FALSE,Fuel and Convenience,Fuel Stations,"51 Tiffany Centre, Dalyellup WA 6230",Burgess Rawson,7-Eleven,"$460,370",2/10/2024,18/10/2024,"$6,940,000",6.63%,Portfolio Auction,,,,,,,380,3704,,100%,PROPID_172.14,TH-000119,,
FALSE,Childcare and Social Infrastructure,Childcare,"10 Farm Road, Diggers Rest VIC 3427",CBRE,YMCA,"$284,109",28/05/2021,1/07/2021,"$5,460,000",5.20%,EOI,,,,,,,,,104,100%,,TH-000120,,
FALSE,Pubs and Hotels,Pubs,"1281 Nepean Highway, Cheltenham VIC 3192",CBRE,ALH,"$591,240",18/06/2021,11/08/2021,"$15,600,000",3.79%,EOI,,,,,,,,,,100%,,TH-000123,,
FALSE,Industrial,Warehouse,"14 McKays Road, Somerset TAS 7322",Burgess Rawson,DSI Underground,"$151,167",9/10/2024,16/10/2024,"$2,300,000",6.57%,Portfolio Auction,31/10/2024,,,,,,1360,2712,,100%,PROPID_172.85,TH-000124,,
FALSE,Childcare and Social Infrastructure,Childcare,"80 Thornton Street, Raceview QLD 4305",Cushman & Wakefield,Expeditions Early Learning Journey,"$237,641",24/06/2021,27/08/2021,"$4,025,000",5.90%,EOI,,,,,,,2310,2310,118,100%,,TH-000125,,
FALSE,Childcare and Social Infrastructure,Childcare,"54 Junction Road, Morningside QLD 4170",Cushman & Wakefield,G8 Education,"$356,614",24/06/2021,28/07/2021,"$7,150,000",4.99%,EOI,,,,,,,,,101,100%,,TH-000127,,
FALSE,Childcare and Social Infrastructure,Childcare,"23 Hope Street, Laidley QLD 4341",Cushman & Wakefield,Paisley Park Early Learning,"$151,268",24/06/2021,28/07/2021,"$2,525,000",5.99%,EOI,,,,,,,,,75,100%,,TH-000128,,
FALSE,Large Format Retail,Large Format High Street,2  Gordon Street  Sorell  TAS,Burgess Rawson,Chemist Warehouse,"$175,479",6/07/2021,25/08/2021,"$3,560,000",4.93%,EOI,12/08/2021,,,,,,661,721,N/A,100%,PROPID_146.25,TH-000130,,
FALSE,Large Format Retail,Large Format High Street,"98 Wellington St, Launceston TAS 7250",Burgess Rawson,Chemist Warehouse,"$83,200",6/07/2021,10/08/2021,"$1,600,000",5.20%,Portfolio Auction,,,,,,,885,526,N/A,100%,PROPID_146.14,TH-000133,,
FALSE,"Medical, Pharmacy and Health",Medical,"8/37 Keilor Park Drive, Keilor Park VIC 3042",Burgess Rawson,NVC Vetrinary Training,"$71,027",7/07/2021,1/09/2021,"$1,600,000",4.44%,Portfolio Auction,,,,,,,,,N/A,100%,PROPID_146.13,TH-000134,,
FALSE,Supermarkets,Independents and Aldi,"77 Racecourse Road, Ascot QLD 4007",Ray White,IGA,,30/07/2021,14/12/2021,"$9,750,000",,EOI,,,John Highman,,,,1059,3126,,100%,https://www.realcommercial.com.au/sold/property-77-racecourse-road-ascot-qld-4007-503881146,TH-000140,,
FALSE,Retail,Strip Retail,"2/110 Kortum Dr, Burleigh Heads QLD 4220",Ray White,Carpet Court,"$164,944",6/08/2021,1/06/2022,"$3,380,000",4.88%,Private Sale,,,,,,,,,,100%,Harvey Norman Sales Evidence,TH-000142,,
FALSE,Supermarkets,Independents and Aldi,"345 Pine Mountain Road, Mount Gravatt East QLD 4122",Ray White,IGA,"$514,881",20/08/2021,25/11/2021,"$8,600,000",5.99%,Private Sale,,,Jonathon Jones,Jay Jones,,,,,,100%,https://www.realcommercial.com.au/sold/property-345-pine-mountain-road-mount-gravatt-east-qld-4122-503895454,TH-000144,,
FALSE,"Medical, Pharmacy and Health",Veterinary Services,"126 Lambton Road, Broadmeadow NSW 2292",Burgess Rawson,Vet Partners,"$73,440",20/08/2021,30/09/2021,"$1,777,000",4.13%,Portfolio Auction,30/09/2021,,,,,,218,392,N/A,100%,PROPID_147.60,TH-000147,,
FALSE,Large Format Retail,Showroom,"15 Antlia Way, Australind WA 6233",Burgess Rawson,Vinnies,"$166,900",3/10/2024,3/10/2024,"$3,000,000",5.56%,Portfolio Auction,30/10/2024,,,,,,700,1551,,100%,PROPID_172.20,TH-000149,,
FALSE,Automotive,Automotive Retail,78   Cunningham Street  Dalby  QLD,Burgess Rawson,Supercheap Auto,"$156,030",20/08/2021,29/09/2021,"$2,425,000",6.43%,Portfolio Auction,29/09/2021,,,,,,810,890,N/A,100%,PROPID_147.9,TH-000150,,
FALSE,Fast Food,Fast Food Shops,"Lots 1 & 2/430 Esplanade, Torquay QLD 4655",Burgess Rawson,Subway,"$64,428",23/08/2021,29/09/2021,"$969,000",6.65%,Portfolio Auction,29/09/2021,,,,,,493,1763,N/A,100%,PROPID_147.35,TH-000153,,
FALSE,Childcare and Social Infrastructure,Childcare,77-83  Timberlea Drive  Bentley Park  QLD,Burgess Rawson,Sanctuary Early Learning,"$378,560",23/08/2021,27/09/2021,"$6,950,000",5.45%,Portfolio Auction,29/09/2021,,,,,,830,4025,140,100%,PROPID_147.43,TH-000154,,
FALSE,Fast Food,Restaurants and Café,"3/12 First Ave, Bongaree QLD 4507",Burgess Rawson,Saviges Seafoods,"$61,906",24/08/2021,29/09/2021,"$1,985,000",3.12%,Portfolio Auction,29/09/2021,,,,,,533,1862,N/A,100%,PROPID_147.4,TH-000155,,
FALSE,"Medical, Pharmacy and Health",Veterinary Services,"224  Alderley Street, Toowoomba  QLD",Burgess Rawson,Greencross Vet,"$107,991",24/08/2021,29/09/2021,"$2,100,000",5.14%,Portfolio Auction,29/09/2021,,,,,,1040,1040,N/A,100%,PROPID_147.31,TH-000156,,
FALSE,"Medical, Pharmacy and Health",Medical,"2/326 Centre Road, Bentleigh VIC 3204",Nichols Crowder,Medical Centre,"$98,000",25/08/2021,24/12/2021,"$2,120,000",4.62%,Private Sale,,,Jill Duggan,James Glen,,,,,,100%,https://www.realcommercial.com.au/sold/property-g02-326-centre-road-bentleigh-vic-3204-503897298,TH-000158,,
FALSE,Automotive,Automotive Retail,"27 Dixon Drive, Pimpama QLD 4209",Burgess Rawson,Pimpama Tavern,"$1,040,000",25/08/2021,19/11/2021,"$22,200,000",4.68%,Portfolio Auction,,,,,,,2746,7862,N/A,100%,PROPID_148.75,TH-000159,,
FALSE,Childcare and Social Infrastructure,Childcare,135-137  Peninsula Road  Maylands  WA,CBRE,Nido Early School,"$416,640",13/07/2021,27/09/2024,"$7,200,000",5.79%,EOI,11/08/2021,,,,,,1061,1972,112,100%,https://www.commo.com.au/properties/2024/09/27/another-record-childcare-sales-price-national-specialists-cbre/1727400340,TH-000161,,
FALSE,"Medical, Pharmacy and Health",Veterinary Services,366  Stenner Street  Toowoomba  QLD,Burgess Rawson,Greencross Vet,"$56,831",25/08/2021,29/09/2021,"$1,265,000",4.49%,Portfolio Auction,29/09/2021,,,,,,1183,1183,N/A,100%,PROPID_147.32,TH-000162,,
FALSE,Childcare and Social Infrastructure,Childcare,24  Lakeview Drive  Lilydale VIC,Burgess Rawson,Investwell Property Services Pty Ltd trading as Lakeview Kindergarten & Childcare,"$71,380",25/08/2021,28/09/2021,"$1,600,000",4.46%,Portfolio Auction,28/09/2021,,,,,,1,855,38,100%,PROPID_147.47,TH-000163,,
FALSE,Retail,Strip Retail,"1156 Padman Drive, Albury NSW 2640",Burgess Rawson,Nexus Specialists Pty Ltd,"$193,800",25/08/2021,28/09/2021,"$4,185,000",4.63%,Portfolio Auction,28/09/2021,,,,,,510,1892,N/A,100%,PROPID_147.2,TH-000164,,
FALSE,"Medical, Pharmacy and Health",Medical,151-153   Furlong Road  St Albans  VIC,Burgess Rawson,Capital Radiology,"$252,344",25/08/2021,7/09/2021,"$6,000,000",4.21%,Prior to Auction,28/09/2021,,,,,,0,1062,N/A,100%,PROPID_147.27,TH-000165,,
FALSE,Childcare and Social Infrastructure,Childcare,"329 Hector Street, Bass Hill NSW 2197",Bawdens,Little Land Preschool & ELC,"$120,000",9/09/2021,22/10/2021,"$2,875,000",4.17%,EOI,,,,,,,,,46,100%,,TH-000172,,
FALSE,Supermarkets,Independents and Aldi,"55-63 Paringa Boulevard, Meadow Heights VIC 3048",Savills,IGA,"$1,452,000",22/09/2021,25/01/2022,"$19,548,000",7.43%,Private Sale,,,Rick Silberman,Steven Lerche,,,,,,100%,https://www.realcommercial.com.au/sold/property-meadow-heights-shopping-centre-55-63-paringa-boulevard-and-12-24-hudson-circuit-meadow-heights-vic-3048-503912974,TH-000178,,
FALSE,Childcare and Social Infrastructure,Childcare,"11 Thomas Street, Laverton VIC 3028",Stonebridge,Inspira Kids Early Learning,"$480,812",23/09/2021,28/02/2022,"$7,200,000",6.68%,EOI,,,,,,,,,137,100%,,TH-000179,,
FALSE,Government,Medical,"146-154 York Street, Sale VIC 3850",Stonebridge,Medicare,"$634,018",23/09/2021,4/11/2021,"$11,600,000",5.47%,Private Sale,,,Kevin Tong,Justin Dowers,Rorey James,,1991,4400,,100%,https://www.realcommercial.com.au/sold/property-146-154-york-street-sale-vic-3850-503916098,TH-000180,,
FALSE,"Medical, Pharmacy and Health",Gyms,"42-48 Bourke Street, Waterford West QLD 4133",Ray White,Anytime Fitness,"$374,725",27/09/2021,27/01/2022,"$5,750,000",6.52%,Private Sale,,,Franz Stapelberg,,,,1167,3618,,100%,https://www.realcommercial.com.au/sold/property-42-48-bourke-street-waterford-west-qld-4133-503917430,TH-000184,,
FALSE,Childcare and Social Infrastructure,Childcare,"181 Grange Road, Glen Huntly VIC 3163",CBRE,Buddies Early Learning,"$449,000",1/10/2021,4/11/2021,"$9,510,000",4.72%,EOI,,,Sandro Peluso,Jimmy Tat,Marcello Caspani-Muto,,,,84,100%,https://www.realcommercial.com.au/sold/property-181-grange-road-glen-huntly-vic-3163-503921598,TH-000186,,
FALSE,Automotive,Car Dealerships,11   Commodity Court  Dalby  QLD,Burgess Rawson,Black Toyota,"$380,000",4/10/2021,11/11/2021,"$5,400,000",7.04%,Portfolio Auction,10/11/2021,,,,,,3187,20000,N/A,100%,PROPID_148.28,TH-000187,,
FALSE,Fast Food,Fast Food Shops,2893  Gold Coast Highway  Surfers Paradise  QLD,Burgess Rawson,Dominos,"$61,979",4/10/2021,10/11/2021,"$1,395,000",4.44%,Portfolio Auction,10/11/2021,,,,,,145,,N/A,100%,PROPID_148.43,TH-000188,,
FALSE,"Medical, Pharmacy and Health",Pharmacy,3  Twenty Third Avenue  Palm Beach  QLD,Burgess Rawson,Chempro Chemists,"$73,073",4/10/2021,10/11/2021,"$1,835,000",3.98%,Portfolio Auction,10/11/2021,,,,,,148,148,N/A,100%,PROPID_148.42,TH-000189,,
FALSE,"Medical, Pharmacy and Health",Medical,"5/5-9 Rabaul Street, Trinity Beach QLD 4879",Burgess Rawson,QML Pathology,"$17,355",5/10/2021,10/11/2021,"$366,000",4.74%,Portfolio Auction,10/11/2021,,,,,,54,66,N/A,100%,PROPID_148.44,TH-000190,,
FALSE,Childcare and Social Infrastructure,Childcare,"1-3 Mulgoa Avenue, Dandenong North VIC 3175",ASL,Hei School Early Learning,"$237,000",5/10/2021,8/11/2021,"$4,950,000",4.79%,Private Sale,,,,,,,,,71,100%,,TH-000191,,
FALSE,Retail,Strip Retail,591   Wynnum Road  Morningside  QLD,Burgess Rawson,Retail,"$260,454",6/10/2021,10/11/2021,"$4,040,000",6.45%,Portfolio Auction,10/11/2021,,,,,,432,,N/A,100%,PROPID_148.39,TH-000197,,
FALSE,Childcare and Social Infrastructure,Childcare,"32 Heyington Avenue, Thomastown VIC 3074",Burgess Rawson,Journey Early Learning,"$355,000",21/08/2024,19/09/2024,"$6,150,001",5.77%,Auction,,,,,,,593,1394,80,100%,PROPID_171.25,TH-000198,,
FALSE,Vacant,,"50 Bulcock Street, Caloundra QLD 4551",Ray White,Development Site,"$527,972",6/10/2021,2/11/2021,"$7,325,000",7.21%,Private Sale,,,Michael Feltoe,Lachlan O'Keeffe,,,,,,100%,https://www.realcommercial.com.au/sold/property-50-bulcock-street-caloundra-qld-4551-503923562,TH-000199,,
TRUE,Fuel and Convenience,Fuel Stations,"1 Not Disclosed, Seven Hills NSW 2765",Burgess Rawson,Ampol,"$1,201,420",27/02/2024,2/08/2024,"$21,000,000",5.72%,Private Sale,,,Yosh Mendis,Geoff Sinclair,,,,26438,,100%,PROPID_167.18,TH-000200,,
FALSE,Childcare and Social Infrastructure,Childcare,38A  Coonans Road  Pascoe Vale South  VIC,Burgess Rawson,Only About Children,"$546,324",7/10/2021,11/11/2021,"$12,520,000",4.36%,Portfolio Auction,11/11/2021,,,,,,953,2731,136,100%,PROPID_148.62,TH-000201,,
FALSE,Office,,"99 Brighton Road, Sandgate QLD 4017",Burgess Rawson,Kindred Bayside Real Estate,"$130,285",12/10/2021,16/12/2021,"$2,075,000",6.28%,Portfolio Auction,,,,,,,697,903,N/A,100%,PROPID_149.38,TH-000204,,
FALSE,Automotive,Servicing,"196 North Vickers Road, Condon QLD 4815",Burgess Rawson,Bridgestone,"$110,400",26/08/2024,20/09/2024,"$1,900,000",5.81%,Portfolio Auction,19/09/2024,,,,,,,,,100%,PROPID_171.44,TH-000206,,
FALSE,Retail,Multi Tenanted,"328 Fulham Road, Heatley QLD 4814",Burgess Rawson,Goodstart Early Learning,"$391,203",22/08/2024,19/09/2024,"$4,875,000",8.02%,Offers to Purchase,,,,,,,2099,4814,86,100%,PROPID_171.29,TH-000208,,
FALSE,Childcare and Social Infrastructure,Childcare,"2 Whiteleaf Drive, Mickleham VIC 3064",CBRE,Nino Early Learning,"$466,100",20/10/2021,22/12/2021,"$10,400,000",4.48%,EOI,,,Marcello Caspani-Muto,Sandro Peluso,Jimmy Tat,,,,118,100%,https://www.realcommercial.com.au/sold/property-2-whiteleaf-drive-mickleham-vic-3064-503934798,TH-000209,,
FALSE,Childcare and Social Infrastructure,Childcare,"162 Elevation Boulevard, Craigieburn VIC 3064",CBRE,Nino Early Learning,"$450,300",20/10/2021,22/12/2021,"$10,050,000",4.48%,EOI,,,Sandro Peluso,Jimmy Tat,Marcello Caspani-Muto,,,,114,100%,https://www.realcommercial.com.au/sold/property-162-elevation-boulevard-craigieburn-vic-3064-503934794,TH-000210,,
FALSE,Childcare and Social Infrastructure,Childcare,"27 Livingstone Street, Ivanhoe VIC 3079",CBRE,Nino Early Learning,"$627,000",20/10/2021,16/12/2021,"$13,690,327",4.58%,EOI,,,Sandro Peluso,Jimmy Tat,Marcello Caspani-Muto,,,,113,100%,https://www.realcommercial.com.au/sold/property-27-livingstone-street-ivanhoe-vic-3079-503934790,TH-000211,,
FALSE,Fast Food,Restaurants and Café,"4, 145 Gateway Boulevard, Epping VIC 3076",Burgess Rawson,Ludhiana Junction,"$61,800",22/08/2024,18/09/2024,"$1,032,000",5.99%,Portfolio Auction,18/09/2024,,,,,,0,103,,100%,PROPID_171.14,TH-000215,,
FALSE,Large Format Retail,Showroom,"13A Antlia Way, Australind WA 6233",Burgess Rawson,Salvation Army,"$146,533",22/08/2024,18/09/2024,"$2,325,000",6.30%,Portfolio Auction,18/09/2024,,,,,,587,587,,100%,PROPID_171.36,TH-000216,,
FALSE,Childcare and Social Infrastructure,Childcare,"6 Archibald Place, Heatherbrae NSW 2324",Cushman & Wakefield,Bright Start ELC,"$298,985",22/10/2021,11/02/2022,"$5,500,000",5.44%,EOI,,,,,,,,,104,100%,,TH-000217,,
FALSE,Retail,Strip Retail,"651-667 Ipswich Road, Annerley QLD 4103",C Property QLD,"Multiple Tenants Retail, Office, Billboard, Residential","$172,957",22/10/2021,22/12/2021,"$3,100,000",5.58%,Private Sale,,,Sam Callanan,Joe Kennedy,Carl Charalambous,,,,,100%,https://www.realcommercial.com.au/sold/property-651-667-ipswich-road-annerley-qld-4103-503936398,TH-000218,,
FALSE,Childcare and Social Infrastructure,Childcare,"44-46 Templeton Street, Wantirna VIC 3152",Stonebridge,Wattle Planet Early Learning,"$356,409",22/10/2021,2/12/2021,"$7,070,000",5.04%,EOI,,,Rorey James,Kevin Tong,Chao Zhang,,,,98,100%,,TH-000219,,
FALSE,Childcare and Social Infrastructure,Childcare,"16 Thallon Street, Sherwood QLD 4075",Cushman & Wakefield,Guardian Childcare & Education,"$373,620",22/10/2021,25/11/2021,"$8,000,000",4.67%,EOI,,,,,,,,,86,100%,,TH-000220,,
FALSE,Childcare and Social Infrastructure,Childcare,"148 West Burleigh Road, Burleigh Heads QLD 4220",Cushman & Wakefield,Petit Early Learning,"$390,158",22/10/2021,25/11/2021,"$9,275,000",4.21%,EOI,,,,,,,,,108,100%,https://www.realcommercial.com.au/sold/property-148-west-burleigh-road-burleigh-heads-qld-4220-503936234,TH-000221,,
FALSE,Fuel and Convenience,Fuel Stations,"38 Oak Street, Andergrove QLD 4740",RE/MAX,BP,"$362,325",18/06/2024,2/08/2024,"$5,400,000",6.71%,Private Sale,,Qcommercial Properties,Deepen Khagram,,,,,2310,,100%,https://www.realcommercial.com.au/for-sale/property-38-oak-street-andergrove-qld-4740-504325400,TH-000222,,
FALSE,Childcare and Social Infrastructure,Childcare,"1 Denison Street, Camperdown NSW 2050",Cushman & Wakefield,Guardian Childcare,"$410,000",25/10/2021,25/11/2021,"$10,300,000",3.98%,EOI,,,,,,,,,110,100%,,TH-000224,,
FALSE,Childcare and Social Infrastructure,Childcare,"318 Mona Vale Road, St Ives NSW 2075",Cushman & Wakefield,Orchard Early Learning,"$636,307",26/10/2021,25/11/2021,"$15,900,000",4.00%,EOI,,,,,,,,,98,100%,,TH-000225,,
